Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_REGIO,SEXE
2024-01-01,1,Ciutat Vella,1,el Raval,16,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,21,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,9,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,16,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,632,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,1199,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,8,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,10,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,73,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,159,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,153,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,181,6,2
2024-01-01,1,Ciutat Vella,1,el Raval,277,7,1
2024-01-01,1,Ciutat Vella,1,el Raval,255,7,2
2024-01-01,1,Ciutat Vella,1,el Raval,1628,8,1
2024-01-01,1,Ciutat Vella,1,el Raval,1655,8,2
2024-01-01,1,Ciutat Vella,1,el Raval,173,9,1
2024-01-01,1,Ciutat Vella,1,el Raval,198,9,2
2024-01-01,1,Ciutat Vella,1,el Raval,10,10,1
2024-01-01,1,Ciutat Vella,1,el Raval,18,10,2
2024-01-01,1,Ciutat Vella,1,el Raval,217,11,1
2024-01-01,1,Ciutat Vella,1,el Raval,173,11,2
2024-01-01,1,Ciutat Vella,1,el Raval,2583,12,1
2024-01-01,1,Ciutat Vella,1,el Raval,4279,12,2
2024-01-01,1,Ciutat Vella,1,el Raval,2146,13,1
2024-01-01,1,Ciutat Vella,1,el Raval,1666,13,2
2024-01-01,1,Ciutat Vella,1,el Raval,190,14,1
2024-01-01,1,Ciutat Vella,1,el Raval,229,14,2
2024-01-01,1,Ciutat Vella,1,el Raval,654,15,1
2024-01-01,1,Ciutat Vella,1,el Raval,450,15,2
2024-01-01,1,Ciutat Vella,1,el Raval,407,16,1
2024-01-01,1,Ciutat Vella,1,el Raval,481,16,2
2024-01-01,1,Ciutat Vella,1,el Raval,12264,17,1
2024-01-01,1,Ciutat Vella,1,el Raval,12737,17,2
2024-01-01,1,Ciutat Vella,1,el Raval,821,18,1
2024-01-01,1,Ciutat Vella,1,el Raval,894,18,2
2024-01-01,1,Ciutat Vella,1,el Raval,13,19,1
2024-01-01,1,Ciutat Vella,1,el Raval,19,19,2
2024-01-01,1,Ciutat Vella,1,el Raval,14,23,1
2024-01-01,1,Ciutat Vella,1,el Raval,6,23,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,7,1,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,8,1,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,7,2,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,8,2,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,406,3,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,1561,3,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,4,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,8,4,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,43,5,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,239,5,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,54,6,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,69,6,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,305,7,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,185,7,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,1293,8,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,1262,8,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,179,9,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,160,9,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,18,10,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,10,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,95,11,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,74,11,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,698,12,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,6704,12,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,223,13,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,147,13,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,143,14,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,165,14,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,493,15,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,381,15,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,385,16,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,404,16,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,4866,17,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,5301,17,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,656,18,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,605,18,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,24,19,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,24,19,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,23,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,6,23,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,..,2,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,..,2,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,147,3,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,262,3,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,..,4,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,..,4,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,5,5,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,31,5,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,27,6,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,37,6,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,112,7,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,86,7,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,725,8,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,617,8,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,80,9,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,63,9,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,7,10,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,30,11,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,31,11,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,129,12,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,336,12,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,21,13,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,14,13,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,65,14,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,56,14,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,433,15,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,300,15,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,225,16,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,230,16,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,4965,17,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,4677,17,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,401,18,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,377,18,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,7,19,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,16,19,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,..,23,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",6,1,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",6,1,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",8,2,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",5,2,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",215,3,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",394,3,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",8,4,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",10,4,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",23,5,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",58,5,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",89,6,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",93,6,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",180,7,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",121,7,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",926,8,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",866,8,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",260,9,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",204,9,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",11,10,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",8,10,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",160,11,1
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",128,11,2
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",194,12,1
