Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_REGIO,SEXE
2020-01-01,1,Ciutat Vella,1,el Raval,9,1,1
2020-01-01,1,Ciutat Vella,1,el Raval,9,1,2
2020-01-01,1,Ciutat Vella,1,el Raval,8,2,1
2020-01-01,1,Ciutat Vella,1,el Raval,21,2,2
2020-01-01,1,Ciutat Vella,1,el Raval,661,3,1
2020-01-01,1,Ciutat Vella,1,el Raval,1160,3,2
2020-01-01,1,Ciutat Vella,1,el Raval,5,4,1
2020-01-01,1,Ciutat Vella,1,el Raval,..,4,2
2020-01-01,1,Ciutat Vella,1,el Raval,72,5,1
2020-01-01,1,Ciutat Vella,1,el Raval,167,5,2
2020-01-01,1,Ciutat Vella,1,el Raval,126,6,1
2020-01-01,1,Ciutat Vella,1,el Raval,138,6,2
2020-01-01,1,Ciutat Vella,1,el Raval,266,7,1
2020-01-01,1,Ciutat Vella,1,el Raval,252,7,2
2020-01-01,1,Ciutat Vella,1,el Raval,1244,8,1
2020-01-01,1,Ciutat Vella,1,el Raval,1333,8,2
2020-01-01,1,Ciutat Vella,1,el Raval,141,9,1
2020-01-01,1,Ciutat Vella,1,el Raval,139,9,2
2020-01-01,1,Ciutat Vella,1,el Raval,16,10,1
2020-01-01,1,Ciutat Vella,1,el Raval,11,10,2
2020-01-01,1,Ciutat Vella,1,el Raval,241,11,1
2020-01-01,1,Ciutat Vella,1,el Raval,208,11,2
2020-01-01,1,Ciutat Vella,1,el Raval,2604,12,1
2020-01-01,1,Ciutat Vella,1,el Raval,5902,12,2
2020-01-01,1,Ciutat Vella,1,el Raval,2295,13,1
2020-01-01,1,Ciutat Vella,1,el Raval,1841,13,2
2020-01-01,1,Ciutat Vella,1,el Raval,232,14,1
2020-01-01,1,Ciutat Vella,1,el Raval,244,14,2
2020-01-01,1,Ciutat Vella,1,el Raval,606,15,1
2020-01-01,1,Ciutat Vella,1,el Raval,401,15,2
2020-01-01,1,Ciutat Vella,1,el Raval,482,16,1
2020-01-01,1,Ciutat Vella,1,el Raval,535,16,2
2020-01-01,1,Ciutat Vella,1,el Raval,12409,17,1
2020-01-01,1,Ciutat Vella,1,el Raval,12652,17,2
2020-01-01,1,Ciutat Vella,1,el Raval,810,18,1
2020-01-01,1,Ciutat Vella,1,el Raval,898,18,2
2020-01-01,1,Ciutat Vella,1,el Raval,14,19,1
2020-01-01,1,Ciutat Vella,1,el Raval,12,19,2
2020-01-01,1,Ciutat Vella,1,el Raval,9,23,1
2020-01-01,1,Ciutat Vella,1,el Raval,..,23,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,6,1,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,2,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,2,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,262,3,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,606,3,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,4,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,8,4,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,28,5,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,162,5,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,52,6,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,48,6,2
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,254,7,1
2020-01-01,1,Ciutat Vella,2,el Barri Gòtic,161,7,2
